iter	Passed	Remaining
592	13367	9174
593	13405	9162
594	13431	9142
595	13467	9129
596	13497	9111
597	13525	9092
598	13551	9072
599	13574	9049
600	13597	9027
601	13627	9009
602	13648	8985
603	13668	8961
604	13690	8938
605	13712	8915
606	13733	8891
607	13754	8867
608	13768	8840
609	13788	8815
610	13820	8798
611	13854	8783
612	13878	8762
613	13905	8741
614	13938	8725
615	13962	8703
616	14043	8717
617	14210	8783
618	14239	8764
619	14270	8746
620	14297	8725
621	14328	8707
622	14363	8691
623	14391	8671
624	14421	8652
625	14453	8635
626	14489	8619
627	14516	8598
628	14548	8581
629	14568	8556
630	14597	8536
631	14618	8512
632	14637	8486
633	14661	8463
634	14683	8439
635	14701	8413
636	14712	8384
637	14723	8354
638	14742	8328
639	14766	8305
640	14801	8289
641	14848	8279
642	14895	8270
643	14935	8256
644	14975	8242
645	15018	8230
646	15050	8211
647	15079	8191
648	15108	8171
649	15140	8152
650	15161	8127
651	15182	8103
652	15209	8082
653	15228	8056
654	15247	8031
655	15272	8008
656	15291	7983
657	15310	7957
658	15331	7933
659	15354	7909
660	15373	7884
661	15419	7872
662	15440	7848
663	15459	7822
664	15481	7798
665	15503	7774
666	15524	7750
667	15539	7723
668	15553	7695
669	15568	7668
670	15605	7651
671	15633	7630
672	15663	7610
673	15690	7589
674	15724	7570
675	15751	7549
676	15770	7524
677	15790	7499
678	15816	7477
679	15835	7452
680	15855	7427
681	15875	7402
682	15894	7377
683	15912	7351
684	15932	7326
685	15959	7305
686	15982	7281
687	16003	7257
688	16022	7232
689	16035	7204
690	16051	7177
691	16064	7149
692	16083	7125
693	16115	7105
694	16145	7085
695	16175	7065
696	16210	7046
697	16234	7024
698	16265	7004
699	16292	6982
700	16314	6958
701	16341	6936
702	16362	6912
703	16383	6888
704	16407	6865
705	16426	6840
706	16445	6815
707	16466	6791
708	16488	6767
709	16517	6746
710	16537	6721
711	16559	6698
712	16586	6676
713	16609	6652
714	16637	6631
715	16660	6608
716	16683	6585
717	16709	6562
718	16730	6538
719	16750	6514
720	16769	6489
721	16788	6464
722	16806	6439
723	16828	6415
724	16850	6391
725	16869	6366
726	16889	6342
727	16915	6319
728	16932	6294
729	16956	6271
730	16979	6248
731	17003	6225
732	17021	6200
733	17040	6175
734	17059	6150
735	17078	6126
736	17096	6100
737	17114	6076
738	17131	6050
739	17149	6025
740	17168	6000
741	17187	5976
742	17205	5951
743	17228	5928
744	17250	5904
745	17277	5882
746	17299	5859
747	17323	5836
748	17343	5812
749	17364	5788
750	17389	5765
751	17409	5741
752	17428	5716
753	17448	5692
754	17469	5668
755	17491	5645
756	17511	5621
757	17535	5598
758	17552	5573
759	17572	5549
760	17589	5524
761	17609	5499
762	17627	5475
763	17647	5451
764	17670	5428
765	17688	5403
766	17708	5379
767	17726	5354
768	17747	5331
769	17766	5306
770	17785	5282
771	17803	5258
772	17821	5233
773	17842	5209
774	17859	5185
775	17879	5161
776	17901	5137
777	17924	5114
778	17945	5090
779	17968	5068
780	17988	5044
781	18008	5020
782	18029	4996
783	18050	4973
784	18065	4948
785	18078	4922
786	18101	4899
787	18131	4877
788	18162	4857
789	18183	4833
790	18208	4811
791	18236	4789
792	18261	4766
793	18283	4743
794	18303	4719
795	18322	4695
796	18339	4671
797	18360	4647
798	18378	4623
799	18399	4599
800	18419	4576
801	18444	4553
802	18466	4530
803	18492	4508
804	18509	4483
805	18528	4459
